environment,run,events_per_second,total_time_s,total_events
vm,1,44931.98771390961,0.2279,10240.0
vm,10,45612.472160356345,0.2245,10240.0
vm,2,49468.59903381643,0.207,10240.0
vm,3,45531.34726545132,0.2249,10240.0
vm,4,47805.78898225957,0.2142,10240.0
vm,5,48233.63165332077,0.2123,10240.0
vm,6,45857.590685176896,0.2233,10240.0
vm,7,48279.11362564828,0.2121,10240.0
vm,8,45775.592311130975,0.2237,10240.0
vm,9,49207.11196540125,0.2081,10240.0
container,1,48484.84848484849,0.2112,10240.0
container,10,47123.79199263691,0.2173,10240.0
container,2,46230.24830699774,0.2215,10240.0
container,3,49468.59903381643,0.207,10240.0
container,4,45490.89293647268,0.2251,10240.0
container,5,44872.918492550394,0.2282,10240.0
container,6,47872.83777466106,0.2139,10240.0
container,7,46439.90929705215,0.2205,10240.0
container,8,44444.444444444445,0.2304,10240.0
container,9,46609.01228948566,0.2197,10240.0
